790755,WhatsApp,5,650829900,2014/03/26,Una aplicacion excelente. La recomiendo a todos los que me sigan!!!
224767,WhatsApp,2,639388220,2014/03/26,Hoy: 2014/03/26 ha sido el peor dia para descargarse una aplicacion. Horrorosa
716420,WhatsApp,3,654159980,2014/03/26,Se le puede sacar partido meh
831298,WhatsApp,4,793093440,2014/03/26,Tenia las expectativas bastante bajas pero me esta gustando WhatsApp
116524,WhatsApp,5,709998010,2014/03/26,Una aplicacion excelente. La recomiendo a todos los que me sigan!!!
551814,WhatsApp,1,799991210,2014/03/26,Creo que ni Mark Zuckerberg podria salvar esta app
415195,WhatsApp,0,699219990,2014/03/26,Definitivamente odio WhatsApp. Falla mas que una escopeta de feria!!!!!!
379321,WhatsApp,1,730993990,2014/03/26,Creo que ni Mark Zuckerberg podria salvar esta app
954570,WhatsApp,2,601509950,2014/03/26,Hoy: 2014/03/26 ha sido el peor dia para descargarse una aplicacion. Horrorosa
974551,WhatsApp,0,652215230,2014/03/26,Definitivamente odio WhatsApp. Falla mas que una escopeta de feria!!!!!!
750561,WhatsApp,5,630906775,2014/03/26,Una aplicacion excelente. La recomiendo a todos los que me sigan!!!
553464,WhatsApp,4,630748842,2014/03/26,Tenia las expectativas bastante bajas pero me esta gustando WhatsApp
472921,WhatsApp,4,681383625,2014/03/26,Tenia las expectativas bastante bajas pero me esta gustando WhatsApp
350417,WhatsApp,3,6881129,2014/03/26,Se le puede sacar partido meh
708230,WhatsApp,5,5189365,2014/03/26,Una aplicacion excelente. La recomiendo a todos los que me sigan!!!
375144,WhatsApp,5,8647700,2014/03/26,Una aplicacion excelente. La recomiendo a todos los que me sigan!!!
533134,WhatsApp,5,4144072,2014/03/26,Una aplicacion excelente. La recomiendo a todos los que me sigan!!!
181490,WhatsApp,5,3282991,2014/03/26,Una aplicacion excelente. La recomiendo a todos los que me sigan!!!
222842,WhatsApp,5,7156301,2014/03/26,Una aplicacion excelente. La recomiendo a todos los que me sigan!!!
978885,WhatsApp,3,2105949,2014/03/26,Se le puede sacar partido meh
353939,WhatsApp,5,8932305,2014/03/26,Una aplicacion excelente. La recomiendo a todos los que me sigan!!!
556521,WhatsApp,3,6292404,2014/03/26,Se le puede sacar partido meh
218722,WhatsApp,5,2566382,2014/03/26,Una aplicacion excelente. La recomiendo a todos los que me sigan!!!
709593,WhatsApp,2,5899088,2014/03/26,Hoy: 2014/03/26 ha sido el peor dia para descargarse una aplicacion. Horrorosa
912685,WhatsApp,2,8474347,2014/03/26,Hoy: 2014/03/26 ha sido el peor dia para descargarse una aplicacion. Horrorosa
945931,WhatsApp,5,8343099,2014/03/26,Una aplicacion excelente. La recomiendo a todos los que me sigan!!!
585139,WhatsApp,4,5529022,2014/03/26,Tenia las expectativas bastante bajas pero me esta gustando WhatsApp
209597,WhatsApp,3,3185075,2014/03/26,Se le puede sacar partido meh
642279,WhatsApp,5,4907267,2014/03/26,Una aplicacion excelente. La recomiendo a todos los que me sigan!!!
129097,WhatsApp,4,2847483,2014/03/26,Tenia las expectativas bastante bajas pero me esta gustando WhatsApp
955616,WhatsApp,5,8478399,2014/03/26,Una aplicacion excelente. La recomiendo a todos los que me sigan!!!
261301,WhatsApp,3,4888749,2014/03/26,Se le puede sacar partido meh
949154,WhatsApp,5,9014012,2014/03/26,Una aplicacion excelente. La recomiendo a todos los que me sigan!!!
779347,WhatsApp,3,8407865,2014/03/26,Se le puede sacar partido meh
763216,WhatsApp,2,9327770,2014/03/26,Hoy: 2014/03/26 ha sido el peor dia para descargarse una aplicacion. Horrorosa
733475,WhatsApp,5,3445736,2014/03/26,Una aplicacion excelente. La recomiendo a todos los que me sigan!!!
806070,WhatsApp,1,2949345,2015/05/26,Creo que ni Mark Zuckerberg podria salvar esta app
877428,WhatsApp,5,3072165,2015/05/26,Una aplicacion excelente. La recomiendo a todos los que me sigan!!!
161080,WhatsApp,1,681383620,2015/05/26,Creo que ni Mark Zuckerberg podria salvar esta app
987203,WhatsApp,5,4386174,2015/05/26,Una aplicacion excelente. La recomiendo a todos los que me sigan!!!
909051,WhatsApp,4,4386175,2015/05/26,Tenia las expectativas bastante bajas pero me esta gustando WhatsApp
823218,WhatsApp,5,4366174,2015/05/26,Una aplicacion excelente. La recomiendo a todos los que me sigan!!!
